,股號,股名,產業別
442,2636,台驊投控,航運業
443,2637,慧洋-KY,航運業
444,2642,宅配通,航運業
445,2645,長榮航太,航運業
446,2701,萬企,觀光餐旅
447,2702,華園,觀光餐旅
448,2704,國賓,觀光餐旅
449,2705,六福,觀光餐旅
450,2706,第一店,觀光餐旅
451,2707,晶華,觀光餐旅
452,2712,遠雄來,觀光餐旅
453,2722,夏都,觀光餐旅
454,2723,美食-KY,觀光餐旅
455,2727,王品,觀光餐旅
456,2731,雄獅,觀光餐旅
457,2739,寒舍,觀光餐旅
458,2748,雲品,觀光餐旅
459,2753,八方雲集,觀光餐旅
460,2801,彰銀,金融保險業
461,2809,京城銀,金融保險業
462,2812,台中銀,金融保險業
463,2816,旺旺保,金融保險業
464,2820,華票,金融保險業
465,2832,台產,金融保險業
466,2834,臺企銀,金融保險業
467,2836,高雄銀,金融保險業
468,2838,聯邦銀,金融保險業
469,2845,遠東銀,金融保險業
470,2849,安泰銀,金融保險業
471,2850,新產,金融保險業
472,2851,中再保,金融保險業
473,2852,第一保,金融保險業
474,2855,統一證,金融保險業
475,2867,三商壽,金融保險業
476,2880,華南金,金融保險業
477,2881,富邦金,金融保險業
478,2882,國泰金,金融保險業
479,2883,開發金,金融保險業
480,2884,玉山金,金融保險業
481,2885,元大金,金融保險業
482,2886,兆豐金,金融保險業
483,2887,台新金,金融保險業
484,2888,新光金,金融保險業
485,2889,國票金,金融保險業
486,2890,永豐金,金融保險業
487,2891,中信金,金融保險業
488,2892,第一金,金融保險業
489,2897,王道銀行,金融保險業
490,2901,欣欣,貿易百貨業
491,2903,遠百,貿易百貨業
492,2904,匯僑,其他業
493,2905,三商,貿易百貨業
494,2906,高林,貿易百貨業
495,2908,特力,貿易百貨業
496,2910,統領,貿易百貨業
497,2911,麗嬰房,貿易百貨業
498,2912,統一超,貿易百貨業
499,2913,農林,貿易百貨業
500,2915,潤泰全,貿易百貨業
501,2923,鼎固-KY,建材營造業
502,2929,淘帝-KY,貿易百貨業
503,2939,凱羿-KY,貿易百貨業
504,2945,三商家購,貿易百貨業
505,3002,歐格,電腦及週邊設備業
